Color by,Project Name,State Name,Type Name,Latitude,Longitude,Combustion / Separation,Company,Country Name,DOE Support,If State,Location,Other,Plant,Plant Status,Project Date,Project ID,Project Link,Regional Partnership,Status Detail Name,Status Name,Technology Name,Type,Unit Base Name 1,1,2,3,4,5,Icon Size,Major Injection Amount
Capture & Storage,Oakdale NG Processing,Colorado,Capture & Storage,37.539456,-105.104697,Separation,Blue Source,United States,Other Support,", Colorado",La Veta (near),Natural gas plant successful capture of vent stack CO2 flowing from a natural gas processing plant to an EOR site. The plant will use membrane separation and transport the CO2 over a 16 mile pipeline.,La Veta NG Plant,Existing,1/1/2007,123,http://globalenergyobservatory.org/geoid/40260,FALSE,Capture Ongoing,Active,,Capture & Storage,Tonnes per Day,1,2,3,4,5,1,"1,096"
Storage,Site Characterization for CO2 Storage from Coal-fired Power Facilities in the Black Warrior Basin of Alabama,Alabama,Storage,33.647396,-87.195723,,University of Alabama,United States,DOE Supported,", Alabama",Parrish,This project assessed CO2 storage capacity in the Black Warrior Basin. Test well drilled at the Alabama Power Goras Plant.,,,12/8/2009,281,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0001910,FALSE,,Completed,,Storage,,1,2,3,4,5,1,
Capture & Storage,Bent County IGCC Plant,Colorado,Capture & Storage,37.8567,-103.1112,Pre-Combustion,Xcel Energy Inc.,United States,Other Support,", Colorado",Bent County,"Xcel suspended consideration in November 2007, too expensive for perceived demand.  Promised to reconsider this concept in a few years.",Xcel Energy IGCC plant,Planned,1/1/2016,169,https://www.bizjournals.com/denver/stories/2007/10/29/daily26.html,FALSE,Planning,Hold,,Capture & Storage,Tonnes Total,1,2,3,4,5,1,"4,200,000"
Storage,Integrated Carbon Capture and Storage in Kansas,Kansas,Storage,37.258813,-97.4817,,University of Kansas Center for Research,United States,DOE Supported,", Kansas",Kansas,"Conduct a feasibility study of three of Kansas’ largest CO2 point sources, nearby storage sites (with greater than 50 million metric tons capacity), and potential CO2 transportation networks.",,,3/1/2017,366,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029474,FALSE,Planning,Potential,,Storage,,1,2,3,4,5,1,
Capture & Storage,Air Products and Chemicals Inc. CCS Project,Texas,Capture & Storage,29.865913,-93.967359,Industrial,Air Products and Chemicals,United States,DOE Supported,", Texas",Port Arthur,"DOE project was completed on September 30, 2017, and operations continue.",Valero Port Arthur Refinery's Methane Steam Reformer Waste Streams,Existing,11/16/2009,201,http://www.netl.doe.gov/research/coal/project-information/FE0002381,FALSE,Capture Ongoing,Completed,Vacuum swing absorption,Capture & Storage,Tonnes per Day,1,2,3,4,5,1,"2,740"
Capture,Intermountain Power Agency,Utah,Capture,39.509213,-112.580616,Post-Combustion,EPRI - Electric Power Research Institute,United States,Other Support,", Utah",Delta,"EPRI along with other corporations and companies, is conducting a study on impacts and ability of retrofitting advanced amine-based CO2 capture technology with current plants.",Intermountain Generation Station,Existing,1/1/2009,120,https://www.epri.com/,FALSE,Plant in Operation,Active,,Capture,,1,2,3,4,5,1,
Capture,ION Engineering Commercial Carbon Capture Design & Costing (C3DC),Nebraska,Capture,41.082047,-101.14317,Post-Combustion,ION Engineering LLC,United States,DOE Supported,", Nebraska",Sutherland,"300 MW slip stream project, will address market requests to provide their CO2 for Enhanced Oil Recovery (EOR) opportunities.","Gerald Gentleman Station Unit 2, Nebraska Public Power District",Existing,,380,https://www.energy.gov/articles/energy-department-invests-44m-advanced-carbon-capture-technologies-projects,FALSE,Engineering design,Active,ION’s solvent CO2 capture technology,Capture,,1,2,3,4,5,1,
Storage,Yates Oil Field EOR Operations,Texas,Storage,30.920613,-101.935292,,Kinder Morgan,United States,Other Support,", Texas",Pecos County west of Iraan,"Kinder Morgan delivers approximately 1.3 billion cubic feet per day of CO2 through about 1,300 miles of pipelines.",Kinder Morgan,Existing,1/1/2006,170,http://www.kindermorgan.com/business/co2/yates.cfm,FALSE,Injection Ongoing,Active,,Storage,Barrels per Day,1,2,3,4,5,1,"20,800"
Capture & Storage,CONSOL Energy - Sequestration of CO2 in Unmineable Coal Seams,West Virginia,Capture & Storage,39.748189,-80.541217,Separation,Consol Energy Inc,United States,DOE Supported,", West Virginia",Marshall County,"CONSOL demonstrated a novel drilling and production process that reduces potential methane emissions from coal mining, produces usable methane (natural gas), and creates a sequestration sink for carbon dioxide (CO2) in unmineable coal seams.",On-site amine plan,Existing,9/21/2001,297,https://www.netl.doe.gov/File%20Library/Events/2015/carbon%20storage/proceedings/08-20_08_CO2-Sequestration-in-Unmineable-Coal-with-ECBM-2015.pdf,FALSE,Post-Injection Monitoring,Completed,Amines,Capture & Storage,Tonnes Total,1,2,3,4,5,1,"4,516"
Capture & Storage,Wallula IGCC Plant,Washington,Capture & Storage,46.102622,-118.918573,Pre-Combustion,"Wallula Resource Recovery, LLC",United States,Other Support,", Washington",Wallula,"The project was cancelled in 2008 with the reason given as ""trouble obtaining drilling equipment.""",Wallula Energy Resource Center,Planned,5/1/2014,178,http://sequestration.mit.edu/tools/projects/wallula_energy_resource_center.html,FALSE,Permitting,Terminated,,Capture & Storage,% Reduction,1,2,3,4,5,1,65
Capture & Storage,CAB-CS: Central Appalachian Basin CarbonSAFE Integrated Pre-Feasibility Project,Ohio,Capture & Storage,40.271999,-81.859679,,Battelle Memorial Institute,United States,Other Support,", Ohio",central Appalachian Basin,This project will will perform pre-feasibility studies for an integrated commercial-scale carbon capture and storage (CCS) site that will utilize deep geologic strata in the Central Appalachian Basin.,,,2/1/2017,359,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029466,FALSE,Planning,Potential,,Capture & Storage,,1,2,3,4,5,1,
Storage,SWP Validation Phase - SACROC CO2 Injection Project,Texas,Storage,32.809575,-100.9307056,,New Mexico Institute of Mining and Technology,United States,DOE Supported,", Texas",Snyder,"This test included a post-audit modeling analysis of injected CO2 for EOR over the last 30 years at the SACROC Unit in the Permian Basin of Texas, in addition to intense MVA analyses of ongoing CO2 injection at SACROC.",Commercial Source,,9/1/2008,158,https://www.netl.doe.gov/publications/proceedings/08/rcsp/factsheets/10-SWP_SACROC%20EOR%20Sequestration_Oil.pdf,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,"157,000"
Storage,West Texas and Llano Pipelines Power CCS,Texas,Storage,31.927655,-102.212316,,Trinity CO2 LLC,United States,Other Support,", Texas",Permian Basin Region,"Trinity CO2 controls the CO2 pipelines for West Texas and Llano Pipelines. Their main CCS activities include pipeline developer, CO2 marketer, and CO2 aggregator.  The CO2 is used primarily for EOR.",Anthropogenic Sources,,1/1/2010,165,http://globalenergyobservatory.org/geoid/40300,FALSE,Developing Infrastructure,Active,,Storage,Tonnes per Day,1,2,3,4,5,1,"1,000"
Storage,WESTCARB Validation Phase - Arizona Utilities CO2 Storage Pilot,Arizona,Storage,34.928611,-110.258611,,Arizona Public Service,United States,DOE Supported,", Arizona",Holbrook,"This project involved drilling a well approximately 3,800 feet deep to evaluate saline formation CO2 storage in Arizona’s Colorado Plateau region.  Potential storage targets are the Naco and Martin formations.  Insufficent permeability detected.",Commercial Source,,1/1/2008,167,http://www.westcarb.org/AZ_pilot_cholla.html,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,0
Storage,SECARB Validation Phase - Stacked Storage Test,Mississippi,Storage,31.578581,-91.172386,,Southern States Energy Board,United States,DOE Supported,", Mississippi",Cranfield Oilfield,"Initiated injection of CO2 for the storage/EOR activity on July 15, 2008. As of March 2009, approximately 627,744  metric tons of CO2 have been injected.",Jackson Dome,,7/15/2008,152,http://www.secarbon.org/?page_id=8,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,"627,744"
Capture & Storage,MGSC Development Phase - Illinois Basin Decatur Project,Illinois,Capture & Storage,39.876963,-88.89341,Industrial,Illinois State Geological Survey,United States,DOE Supported,", Illinois",Decatur,"MGSC has partnered with the Archer Daniels Midland (ADM) Company, an agricultural product processing company, to conduct a large-volume, saline sequestration test at ADM’s ethanol by fermentation facility located in Decatur, Illinois.",ADM Ethanol Facility,Existing,1/1/2010,125,http://www.netl.doe.gov/publications/factsheets/project/NT42588.pdf,TRUE,Post-Injection Monitoring,Completed,Not currently specified,Capture & Storage,Tonnes Total,1,2,3,4,5,1,"999,215"
Capture & Storage,PureGen project,New Jersey,Capture & Storage,40.608355,-74.219695,Post-Combustion,SCS Energy,United States,Other Support,", New Jersey",Linden,"Build a coal-fired electric plant in Linden, New Jersey that would capture its emissions of carbon dioxide and pump the pollutant 70 miles offshore for sequestration in a sandstone approximately 1 mile beneath ocean floor.",Coal-fired power plant,Planned,1/1/2014,177,No specific project link identified.,FALSE,Planning,Terminated,,Capture & Storage,% Reduction,1,2,3,4,5,1,90
Storage,PCOR Development Phase - Bell Creek Project,Montana,Storage,45.097,-105.109,Separation,Energy & Environmental Research Center - University of North Dakota,United States,DOE Supported,", Montana",Powder River County,"CO2 from Lost Cabin gas plant WY through 226-mile pipeline, from Shute Creek plant in WY through intersecting pipeline. CO2-EOR.  Injection began 2013. Over 20-25 years, 900,000 metric tons CO2/year will recover an incremental 35 million bbl.",ConocoPhillips Lost Cabin/Madden Gas Plant,Existing,10/1/2007,140,http://www.netl.doe.gov/publications/factsheets/project/NT42592.pdf,TRUE,Injection Complete,Completed,Gas Separation,Storage,Tonnes per Day,1,2,3,4,5,1,"2,740"
Capture & Storage,Lima Polygen,Ohio,Capture & Storage,40.717629,-84.111123,Pre-Combustion,Global Energy,United States,Other Support,", Ohio",Lima,"Primary production of the Lima Energy IGCC project will be 540 megawatts (MW) of electrical power, 26 BCF/year of synthetic natural gas and 6 million SCF/day of hydrogen. The CO2 will be used for sequestration or EOR.",Lima IGCC,In Development,1/1/2013,124,http://www.limaohio.com/news/149379/lima-energy-applied-for-certificate-with-plans-to-transfer-it,FALSE,Permitting,Hold,,Capture & Storage,Tonnes per Day,1,2,3,4,5,1,"7,672"
Capture & Storage,Trailblazer Energy Center,Texas,Capture & Storage,32.525131,-100.262633,Post-Combustion,Tenaska Inc.,United States,Other Support,", Texas",Sweetwater,In 2013 Tenaska cancelled the Trailblazer Energy Center project.,Tenaska Trailblazer Energy Center,Planned,1/1/2015,161,https://sequestration.mit.edu/tools/projects/tenaska.html,FALSE,Permitting,Terminated,Fluor Corporation’s advanced Econamine FG Plussm Technology,Capture & Storage,Tonnes per Day,1,2,3,4,5,1,"15,755"
Capture & Storage,Riley Ridge Gas Plant,Wyoming,Capture & Storage,42.4756,-110.489,Pre-Combustion,"Denbury Onshore, LLC",United States,Other Support,", Wyoming",Big Piney,Initial development plans for CO2 capture from the Riley Ridge Gas plant envisaged a 2015-17 start-up date. Denbury has indicated that the new plan is for a 2020 development time-line,Riley Ridge Gas Plant,In Development,1/1/2020,347,http://www.zeroco2.no/projects/riley-ridge-gas-plant-eor,FALSE,Planning,Potential,Amines,Capture & Storage,,1,2,3,4,5,1,
Capture & Storage,Carbonsafe Rocky Mountain Phase I: Ensuring Safe Subsurface Storage of Carbon Dioxide in the Intermountain West,Utah,Capture & Storage,39.107347,-110.867393,,University of Utah,United States,DOE Supported,", Utah",Castle Dale,Identify the conditions and attributes that will facilitate feasible and practical commercial-scale carbon capture and storage.,,,3/1/2017,370,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029280,FALSE,Planning,Potential,,Capture & Storage,,1,2,3,4,5,1,
Capture & Storage,FutureGen - Odessa,Texas,Capture & Storage,31.85984802,-102.3777237,Pre-Combustion,FutureGen Industrial Alliance Inc.,United States,DOE Supported,", Texas",Odessa,"Odessa, Texas was one of four sites that was considered for the FutureGen Alliance project. The  site was not chosen fromthe site finalists.",FutureGen - Odessa,Planned,1/1/2015,268,No specific project link identified.,FALSE,,Terminated,,Capture & Storage,,1,2,3,4,5,1,
Storage,MGSC Validation Phase - Sugar Creek Field,Kentucky,Storage,37.26265,-87.578917,,Illinois State Geological Survey,United States,DOE Supported,", Kentucky",Hopkins County,"In early Summer 2009, CO2 injection started at the EOR III site in the Sugar Creek field in Hopkins County, Kentucky. The reservoir is located at a depth of 1,850 feet and consists of fine-grained sandstone packages interbedded with shales.",Commercial Source,,4/1/2009,126,https://www.osti.gov/servlets/purl/1063888,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,"6,560"
Storage,MGSC Validation Phase - Loudon Field,Illinois,Storage,39.041661,-88.893386,,Illinois State Geological Survey,United States,DOE Supported,", Illinois",Fayette County,"This mature oil field enhanced oil recovery (EOR) test, also known as a “Huff ’n Puff,” evaluated the potential for geological sequestration of CO2 in mature Illinois Basin oil reservoirs as part of an EOR program.",Commercial Source,,1/1/2007,104,http://sequestration.org/resources/publish/MGSC_HuffnPuff_Loudon.pdf,TRUE,Injection Complete,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,39
Capture,We Energies Pleasant Prairie Field Pilot,Wisconsin,Capture,42.53944,-87.90444,Post-Combustion,We Energies,United States,Other Support,", Wisconsin",Pleasant Prairie,"The Chilled Ammonia CO2 capture pilot at the We Energies power plant in Pleasant Prairie, Wisconsin, USA went into operation in June 2008. Demonstrated more than 90% capture of CO2 from flue gas.",Pleasant Prairie,Existing,7/1/2008,225,http://mydocs.epri.com/docs/CorporateDocuments/SectorPages/GEN/CarbonCaptureProject/doc/cc_report.pdf,FALSE,Capture Complete,Completed,Alstom Chilled Ammonia Process,Capture,Tonnes per Day,1,2,3,4,5,1,81
Capture,Lost Cabin Gas Plant CCS Project,Wyoming,Capture,43.29320394,-107.6021476,Separation,"ConocoPhillips, Denbury",United States,Other Support,,Lost Cabin,The Lost Creek Gas Plant began separating and capturing CO2 from the nearby Madden Gas Field in 1995. The PCOR Development Phase project at Belle Creek oil field began to utilize CO2 from this source in 2013 for EOR/CO2 storage.,Lost Cabin Gas Plant,,,387,https://www.uwyo.edu/eori/_files/co2conference07/brent_lohnes_conocophillips_eori.pdf,FALSE,Plant in Operation,,,Capture,,1,2,3,4,5,1,
Storage,Big Sky Validation Phase - Basalt Injection,Washington,Storage,46.106511,-118.915757,,Montana State University,United States,DOE Supported,", Washington",Wallula,"Injection was initiated on July 17, 2013. Injection completed August 11, 2013.",Commercial,,1/1/2010,29,http://www.bigskyco2.org/research/geologic/basaltproject,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,977
Storage,SWP Validation Phase - Pump Canyon CO2-ECBM Sequestration Demonstration,New Mexico,Storage,36.85479722,-107.6983472,,New Mexico Institute of Mining and Technology,United States,DOE Supported,", New Mexico",Navajo City,The San Juan Basin pilot test examined ECBM efficacy and degree of CO2 sequestration by injecting CO2 sourced from the McElmo Dome into the coals of the Upper Cretaceous Fruitland formation in the San Juan Basin.,McElmo Dome,,7/1/2008,159,https://www.adv-res.com/pdf/RECS_ARI.pdf,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,"16,700"
Storage,An Evaluation of the Carbon Sequestration Potential of the Cambro Ordovician Strata of the Illinois and Michigan Basins,"Illinois, Michigan, Kentucky, Indiana",Storage,40.10099,-88.229099,,Illinois State Geological Survey,United States,DOE Supported,"Illinois, Michigan, Kentucky, Indiana",,"Goal is to evaluate carbon storage potential of Cambrian-Ordovician strata in Illinois and Michigan basins by evaluating reservoir and seal capacity, mapping the basins with 2D & 3D seismic data sets, and developing a BMP for site characterization.",,,12/7/2009,274,http://www.netl.doe.gov/File%20Library/Events/2014/carbon_storage/8--Hannes-Leetaru.pdf,FALSE,,Completed,,Storage,,1,2,3,4,5,1,
Capture & Storage,MRCSP Development Phase - Michigan Basin Project,Michigan,Capture & Storage,45.019154,-84.529174,Separation,Battelle Memorial Institute,United States,DOE Supported,", Michigan",Gaylord,Performing injection test of at least 1 million metric tons of CO2 into geologic formations associated with EOR.,Natural Gas Processing Facility,Existing,10/1/2005,131,http://www.netl.doe.gov/publications/factsheets/project/NT42589.pdf,TRUE,Injection Ongoing,Active,Gas Separation,Capture & Storage,Tonnes Total,1,2,3,4,5,1,"1,000,000"
Storage,Geologic Characterization of the South Georgia Rift Basin for Source Proximal CO2 Storage,South Carolina and Georgia,Storage,33.113913,-80.533211,,South Carolina Research Foundation,United States,DOE Supported,South Carolina and Georgia,,Evaluate the feasibility of storing CO2 in the Jurassic and Triassic strata of the buried South Georgia Rift Basin.,,,12/8/2009,277,http://www.netl.doe.gov/File%20Library/Events/2014/carbon_storage/6--Michael-Waddell.pdf,FALSE,,Completed,,Storage,,1,2,3,4,5,1,
Storage,SECARB Validation Phase - Plant Daniel Project,Mississippi,Storage,30.53,-88.556111,,Southern States Energy Board,United States,DOE Supported,", Mississippi",Escatawpa,The primary objective of this project was to locate and evaluate suitable saline formations for storage of CO2 in close proximity to large coal-fired power plants along the Mississippi Gulf Coast.,Commercial Source,Existing,4/1/2006,153,http://www.secarbon.org/files/mississippi-test-site.pdf,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,"2,740"
Storage,Integrated Mid-Continent Stacked Carbon Storage Hub,Nebraska or Kansas,Storage,40.341002,-97.793843,,Battelle Memorial Institute,United States,DOE Supported,Nebraska or Kansas,,"This project is to study the pre-feasibility of an integrated CO2 storage hub in the mid-continent region of the United States, with the ultimate objective of storing anthropogenic CO2.",,,2/1/2017,357,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029264,FALSE,Planning,Potential,,Storage,,1,2,3,4,5,1,
Capture & Storage,Touchstone Bioconversion Pilot Plant,Ohio,Capture & Storage,40.824822,-81.865536,,Touchstone Research Laboratory,United States,DOE Supported,", Ohio",Cedar Lane Farms,The project is pumping CO2 from greenhouse furnances into algae ponds to take advantages of CCUS opportunities with biomass to energy (biodiesel) production.,Biomass production ponds,Existing,7/25/2012,309,http://www.algaebiomass.org/wp-content/gallery/2012-algae-biomass-summit/2010/06/Joseph_Brian1.pdf,FALSE,Plant in Operation,Completed,Not currently specified,Capture & Storage,Liter of Algae per Minute,1,2,3,4,5,1,0
Storage,Big Sky Development Phase - Kevin Dome Project,Montana,Storage,48.859252,-111.721966,,Montana State University,United States,DOE Supported,", Montana",Kevin,"The original intent: inject 1 MMT naturally occurring CO2 from Kevin Dome into Duperow.  However, pre-injection monitoring indicated dissolved solids content of formation fluid at injection well was too low to allow for large-scale injection.",Kevin Dome,,7/25/2011,295,http://www.netl.doe.gov/publications/factsheets/project/NT42587.pdf,TRUE,Pre-Injection Monitoring,Active,,Storage,Tonnes Total,1,2,3,4,5,1,"1,000,000"
Capture,Prairie State Energy Campus,Illinois,Capture,38.27881,-89.667328,Post-Combustion,Prairie State Energy Campus,United States,Other Support,", Illinois",Washington County,Plant will have 15% less CO2 than typical US coal plant. Pending decision on capture technology. The plant will use 'supercritical' boilers to combust coal.,Prairie State Energy Campus,Existing,8/1/2012,142,http://www.ncsl.org/documents/energy/dequattro_ppt.pdf,FALSE,Plant in Operation,Active,,Capture,% Reduction,1,2,3,4,5,1,15
Capture,EW Brown Generating Station,Kentucky,Capture,37.788156,-84.713791,Post-Combustion,University of Kentucky,United States,DOE Supported,", Kentucky",Harrodsburg,Pilot capture plant that is testing two solvents (MEA and H3-1) on a 0.7 megawatt equivalent. Ultimate goal is to construct a 550 Mwe commercial scale capture plant.,EW Brown Generating Station,In Development,1/1/2014,343,http://www.netl.doe.gov/research/coal/carbon-capture/post-combustion/solvent-university-kentucky,FALSE,Developing Infrastructure,Active,Solvents,Capture,,1,2,3,4,5,1,
Capture & Storage,FutureGen - Jewett,Texas,Capture & Storage,31.36325836,-96.14356995,Pre-Combustion,FutureGen Industrial Alliance Inc.,United States,DOE Supported,", Texas",Jewett,"Jewett, Texas was one of four sites that was considered for the FutureGen Alliance project. The 400-acre site was not chosen out of the site finalists.",FutureGen - Jewett,Planned,1/1/2015,266,No specific project link identified.,FALSE,,Terminated,,Capture & Storage,,1,2,3,4,5,1,
Storage,PCOR Validation Phase - Northwest McGregor EOR Huff n' Puff Project,North Dakota,Storage,48.575622,-102.942431,,Energy & Environmental Research Center - University of North Dakota,United States,DOE Supported,", North Dakota",Williams County,"Eagle Operating and the EERC conducted a CO2 “Huff n’ Puff” in the Northwest McGregor Oil Field on the Nesson Anticline in Williston County, North Dakota. A total of 400 tonnes of CO2  was injected into the Madison formation over two days in June 2009.",Commercial Source,,3/1/2009,141,https://www.undeerc.org/pcor/newsandpubs/pdf/FS12A-CO2-Huff-n-Puff-Validation-Test-NW-McGregor.pdf,TRUE,,Completed,,Storage,Tonnes Total,1,2,3,4,5,1,400
Capture & Storage,Cash Creek IGCC,Kentucky,Capture & Storage,37.843695,-87.590435,Pre-Combustion,ERORA Group,United States,Other Support,", Kentucky",Henderson County,The proposed project was to build a 770 megawatt (MW) Integrated Gasification Combined Cycle (IGCC) coal plant  to gasify 2.8 million tons of coal per year to produce electricity and deliver CO2 to an interstate pipeline.,Cash Creek Generation,Planned,1/1/2012,162,https://www.reuters.com/article/utilities-coal-kentucky/kentucky-advanced-coal-project-obtains-air-permit-idUSN3033537620071130,FALSE,Developing Infrastructure,Hold,,Capture & Storage,,1,2,3,4,5,1,
Storage,"Integrated Commercial Carbon Capture and Storage PreFeasibility Study at Dry Fork Station, Wyoming",Wyoming,Storage,44.388915,-105.461027,,University of Wyoming,United States,DOE Supported,", Wyoming",Dry Fork Station,Identify saline storage opportunities proximal to the Dry Fork Station (DFS) power plant in the Powder River Basin.,Dry Fork Station,,3/1/2017,372,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029375,FALSE,Planning,Potential,,Storage,,1,2,3,4,5,1,
Capture,Tampa Electric - Scale-Up of High-Temperature Syngas Cleanup Technology,Florida,Capture,27.725119,-81.993792,Pre-Combustion,Tampa Electric Power Company,United States,DOE Supported,", Florida",Brewster,"The project designed, constructed, and operated a pre-commercial scale high-temperature
syngas cleanup unit with integrated CCS technology. 300,000 tons CO2 total were injected  into a saline formation.",TECO Polk Power Station,Existing,7/20/2009,303,https://www.netl.doe.gov/File%20Library/Research/Coal/energy%20systems/gasification/FE0000489.pdf,FALSE,Engineering design,Completed,MDEA Gas Separation Process,Capture,Tonnes per Day,1,2,3,4,5,1,748
Capture & Storage,Mitchell Energy Bridgeport Plant,Texas,Capture & Storage,33.205873,-97.729303,Post-Combustion,Mitchell Energy,United States,Other Support,", Texas",Bridgeport,"The Mitchell Energy Bridgeport, Texas USA plant recovered~ 500 ton/day CO2 for EOR.",Bridgeport,Existing,1/1/1991,229,http://www.osti.gov/scitech/biblio/6286644,FALSE,Capture Complete,Completed,Aqueous amino acid salt-based solvent,Capture & Storage,Tonnes per Day,1,2,3,4,5,1,500
