Fac_ID,Fac_Name,State,Latitude,Longitude,NAICS,Sector,Total_Emissions,CO2_Emissions
1000112,23rd and 3rd,NY,40.66,-74,221112,Power Plants,60819.7,60751.2
1013621,3Bear Libby Gas Plant,NM,32.54,-103.52,211130,Petroleum and Natural Gas Systems,40521.81,39555.5
1003742,31st Street Landfill,IL,41.84,-87.92,562212,Waste,100500.95,334.9
1003188,3M BROWNWOOD,TX,31.67,-99,326113,Minerals,29359.64,29329.5
1005043,3M CO,MN,44.95,-93,541715,Other,82308.24,82223
1012037,50 Buttes Gas Plant,WY,43.76,-105.79,213112,Petroleum and Natural Gas Systems,72243.54,70339.7
1003739,3M CO - GUIN,AL,33.97,-87.9,326113,Minerals,27083,27055.6
1007698,3M CO - WAUSAU DOWNTOWN,WI,44.95,-89.64,212313,Other,46909.12,46851.2
1004206,3M COMPANY,AL,34.64,-87.04,325211,"Chemicals,Industrial Gas Suppliers",44016.26,42016.6
1006665,3M CORDOVA,IL,41.76,-90.28,325998,"Chemicals,Industrial Gas Suppliers",657865.9,28548.5
1004836,3M Cottage Grove Center - Site,MN,44.79,-92.91,325998,"Chemicals,Industrial Gas Suppliers,Minerals",49540.27,32804.8
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,AR,34.71,-92.24,212399,Other,33733.43,33689.5
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,MN,44.88,-94.36,326199,Other,39621.3,39580.2
1004804,3M NEVADA PLANT,MO,37.83,-94.33,326113,Other,31562.83,31530.5
1013282,3M Pittsboro,NC,35.66,-79.18,327999,Minerals,25996.85,25970
1001106,48th Street Peaking Station,MI,42.76,-86.09,221112,Power Plants,49160.67,49110.8
1000766,59th Street,NY,40.77,-73.99,221330,Power Plants,149968.98,149813.6
1007733,69TH ST WWTP,TX,29.76,-95.3,221320,Other,21730.67,21708.2
1000767,74th Street,NY,40.77,-73.95,221330,Power Plants,174902.71,174717.2
1001033,A B Brown Generating Station,IN,37.91,-87.72,221112,Power Plants,2386473.35,2367453.9
1013527,A.J. Mihm Generating Station,MI,46.79,-88.62,221112,Power Plants,123398.14,123271
1002983,ABBOTT PARK FACILITY,IL,42.3,-87.89,424210,Other,55009.39,54952.4
1007514,ABBVIE LTD.,PR,18.43,-66.57,325412,Chemicals,64383.47,64300
1004511,ABC COKE,AL,33.58,-86.78,324199,Metals,171414.2,171264.6
1005353,ABERDEEN ENERGY LLC,SD,45.44,-98.79,325193,Other,196953.31,196750
1006971,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,MD,39.4,-76.31,928110,Other,95765.88,95626.4
1002627,ABSOLUTE ENERGY LLC,IA,43.5,-92.92,325193,"Other,Waste",142519.35,142197.9
1002685,AC 857 A,TX,26.3,-94.9,211120,Petroleum and Natural Gas Systems,195340.75,190343.9
1004761,ACE ETHANOL LLC,WI,44.96,-90.96,325193,"Other,Suppliers of CO2",69300.84,69229.6
1005601,ACME BRICK CO ELGIN PLANT,TX,30.33,-97.29,327120,Minerals,26692.3,26664.9
1005046,ACME GYPSUM FACILITY,TX,34.32,-99.82,327420,Minerals,39773,39731.9
1002731,ADA COGENERATION,MI,42.96,-85.48,221112,Power Plants,85831.68,85742.9
1003752,"ADA Carbon Solutions (Red River), LLC",LA,32.01,-93.39,325998,Chemicals,194427.16,194415.1
1003422,ADKINS ENERGY LLC,IL,42.36,-89.8,325193,Other,86205.08,86116.3
1002154,ADM - MANKATO,MN,44.19,-94,311225,Other,139900.22,138951.6
1006047,ADM CORN PROCESSING,IA,41.92,-91.69,311221,"Other,Waste",2338390.15,2324242.1
1010610,ADM Deerfield,MO,37.81,-94.59,311224,Other,41564.84,41522.1
1011855,ADM Fostoria,OH,41.15,-83.43,311224,Other,27777.3,27748.8
1000376,ADM QUINCY,IL,39.9,-91.41,311224,Other,104084.41,103977
1006080,ADM SOUTHERN CELLULOSE PROD.IN,TN,35,-85.32,322110,Pulp and Paper,26863.85,26835.9
1000034,ADM SOYBEAN PROCESSING - DES MOINES,IA,41.63,-93.58,311224,Other,153766.68,152702.2
1011961,ADM Valdosta,GA,30.83,-83.25,311224,Other,52420.73,51831.7
1001845,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WI,44.41,-89.85,562212,Waste,20077.15,148.9
1003038,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MO,39.73,-92.54,562212,Waste,21802.7,70.9
1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,IL,42.14,-89.09,562212,Waste,192679.1,62.1
1006963,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,IL,39.82,-89.04,562212,Waste,33001.6,83.6
1000627,ADVANSIX INC - CHESTERFIELD PLANT,VA,37.34,-77.29,325211,Other,57749.83,57689.8
1000630,ADVANSIX INCORPORATED - HOPEWELL,VA,37.18,-77.16,325199,"Chemicals,Suppliers of CO2",1181515.79,1180950.8
1005310,AES - PUERTO RICO COGENERATION PLANT,PR,17.95,-66.15,221112,Power Plants,3431800.86,3408333.5
1001444,AES Alamitos,CA,33.77,-118.1,221112,Power Plants,823900,823063.2
1005972,AES HAWAII INC,HI,21.3,-158.11,221112,Power Plants,1186453.74,1176424.6
1001447,AES Huntington Beach,CA,33.64,-117.98,221112,Power Plants,516763.94,516239.5
1001450,AES Redondo Beach,CA,33.85,-118.4,221112,Power Plants,239844.36,239600.5
1001223,AES Warrior Run,MD,39.59,-78.75,221112,"Power Plants,Suppliers of CO2",1117382.99,1108429.9
1003853,AFTON CHEMICAL CORP,IL,38.6,-90.17,324191,Petroleum and Natural Gas Systems,50044.16,49992.1
1007551,AG Energy,NY,44.73,-75.44,221112,Power Plants,7329.67,7322
1002069,AG PROCESSING INC,IA,43.1,-94.65,311224,Other,25396,25369.7
1002070,AG PROCESSING INC A COOP-MANNING,IA,41.92,-95.07,311224,Other,20570.77,20549.4
1006054,AG PROCESSING INC-EAGLE GROVE,IA,42.67,-93.9,311224,Other,66086.45,66018.5
1002408,AG PROCESSING INC-SHELDON,IA,43.18,-95.86,311224,Other,27849.4,27820.9
1002291,AG PROCESSING INCORPORATED A COOPERATIVE,MN,44.93,-96.06,311224,Other,38906,38866
1007333,AGC FLAT GLASS N AMERICA INC,KY,37.7,-84.27,327211,Minerals,77596.45,77543
1004631,AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT,KS,38.76,-94.83,327211,Minerals,101902.57,101825.3
1005824,AGC-GREENLAND FLATGLASS PLANT,TN,36.5,-82.78,327211,Minerals,117946.72,117882.6
1002067,AGP SOY/CORN PROCESSING,NE,40.59,-98.34,311224,Other,184240.12,182868.3
1005284,AGRI ENERGY LLC,MN,43.65,-96.22,325199,"Chemicals,Waste",5563.08,5555.1
1002380,AGRIUM US BORGER NITROGEN OPERATIONS,TX,35.64,-101.42,325311,"Chemicals,Suppliers of CO2",955607.87,955161.8
1004236,AGRIUM US INC - KFO,WA,46.17,-119.02,325311,Chemicals,145127.44,10847
1001919,AHN Heartland Ingredients,IA,41.14,-92.65,311119,Other,111912.63,111797
1006430,"AIR LIQUID LARGE INDUSTRIES US, LP",CA,33.91,-118.4,325120,Chemicals,556606.1,556606.1
1003724,AIR LIQUIDE - CORPUS CHRISTI SMR,TX,27.81,-97.47,325120,Chemicals,367763.2,367763.2
